date,name,seq,,,,
2019.03.07 ,고3 학력평가 ,247,,,,
2018.09.05 ,고3 모의평가 ,240,,,,
2018.10.16 ,고3 학력평가 ,241,,,,
2018.07.11 ,고3 학력평가 ,237,,,,
2018.06.07 ,고3 모의평가 ,236,,,,
2018.04.11 ,고3 학력평가 ,233,,,,
2018.03.08 ,고3 학력평가 ,232,,,,
2017.10.17 ,고3 학력평가 ,226,,,,
2017.09.06 ,고3 모의평가 ,225,,,,
2017.07.12 ,고3 학력평가 ,222,,,,
2017.06.01 ,고3 모의평가 ,220,,,,
2017.04.12 ,고3 학력평가 ,217,,,,
2017.03.09 ,고3 학력평가 ,216,,,,
2016.10.11 ,고3 학력평가 ,210,,,,
2016.09.01 ,고3 모의평가 ,209,,,,
2016.07.06 ,고3 학력평가 ,192,,,,
2016.06.02 ,고3 모의평가 ,191,,,,
2016.04.06 ,고3 학력평가 ,187,,,,
2016.03.10 ,고3 학력평가 ,186,,,,
2015.10.13 ,고3 학력평가 ,180,,,,
2015.09.02 ,고3 모의평가 ,179,,,,
2015.07.09 ,고3 학력평가 ,176,,,,
2015.06.04 ,고3 모의평가 ,175,,,,
2015.04.09 ,고3 학력평가 ,172,,,,
2015.03.11 ,고3 학력평가 ,171,,,,
2014.10.07 ,고3 학력평가 ,165,,,,
2014.09.03 ,고3 모의평가 ,162,,,,
2014.07.10 ,고3 학력평가 ,161,,,,
2014.06.12 ,고3 모의평가 ,160,,,,
2014.04.10 ,고3 학력평가 ,157,,,,
2014.03.12 ,고3 학력평가 ,156,,,,
2013.10.08 ,고3 학력평가 ,150,,,,
2013.09.03 ,고3 모의평가 ,147,,,,
2013.07.12 ,고3 학력평가 ,146,,,,
2013.06.05 ,고3 모의평가 ,143,,,,
2013.04.11 ,고3 학력평가 ,142,,,,
2013.03.13 ,고3 학력평가 ,139,,,,
2012.10.09 ,고3 학력평가 ,135,,,,
2012.09.04 ,고3 모의평가 ,132,,,,
2012.07.11 ,고3 학력평가 ,131,,,,
2012.06.07 ,고3 모의평가 ,128,,,,
2012.04.10 ,고3 학력평가 ,126,,,,
2012.03.14 ,고3 학력평가 ,123,,,,
2011.10.12 ,고3 학력평가 ,116,,,,
2019.03.07 ,고2 학력평가 ,246,,,,
2018.11.21 ,고2 학력평가 ,243,,,,
2018.09.05 ,고2 학력평가 ,239,,,,
2018.06.07 ,고2 학력평가 ,235,,,,
2018.03.08 ,고2 학력평가 ,231,,,,
2017.11.29 ,고2 학력평가 ,228,,,,
2017.09.06 ,고2 학력평가 ,224,,,,
2017.06.01 ,고2 학력평가 ,219,,,,
2017.03.09 ,고2 학력평가 ,215,,,,
2016.11.23 ,고2 학력평가 ,212,,,,
2016.09.01 ,고2 학력평가 ,208,,,,
2016.06.02 ,고2 학력평가 ,190,,,,
2016.03.10 ,고2 학력평가 ,185,,,,
2015.11.17 ,고2 학력평가 ,182,,,,
2015.09.02 ,고2 학력평가 ,178,,,,
2015.06.04 ,고2 학력평가 ,174,,,,
2015.03.11 ,고2 학력평가 ,170,,,,
2014.11.18 ,고2 학력평가 ,167,,,,
